learned	on'yomi	on'yomi kana	kun'yomi	kun'yomi kana	meaning	ref_sh_kk
1	ICHI, ITSU	イチ, イツ	hito(tsu)	ひと(つ)	one (1)	2
2	NI	ニ	futa(tsu)	ふた(つ)	two (2)	3
3	SAN	サン	mi(t)(tsu)	み(っ)(つ)	three (3)	4
4	SHI	シ	yo(n), yo(t)(tsu)	よ(ん), よ(っ)(つ)	four (4)	6
5	GO	ゴ	itsu(tsu)	いつ(つ)	five (5)	7
6	ROKU	ロク	mu(t)(tsu)	む(っ)(つ)	six (6)	8
7	SHICHI	シチ	nana(tsu)	なな(つ)	seven (7)	9
8	HACHI	ハチ	ya(t)(tsu)	や(っ)(つ)	eight (8)	10
9	KYUU, KU	キュウ, ク	kokono(tsu)	ここの(つ)	nine (9)	11
10	JUU	ジュウ	to(o)	と(お)	ten (10)	12
11	HYAKU	ヒャク	momo	もも	hundred (100)	14
12	SEN	セン	chi	ち	thousand (1,000)	15
13	MAN, BAN	マン, バン	yoro(zu)	よろ(ず)	ten thousand (10,000)	16
14	FU, HO, TOU	フ, ホ, トウ	chichi	ちち	father	113
15	BO, MU, KAA	ボ, ム, カア	haha	はは	mother	112
16	YUU	ユウ	tomo	とも	friend	264
17	JO, NYO	ジョ, ニョ	onna, me	おんあ, め	woman, female	102
18	NAN, DAN	ナン, ダン	otoko	おとこ	man, male	101
19	NIN, JIN	ニン, ジン	hito	ひと	person	1
20	SHI, SU	シ, ス	ko	こ	child	103
21	NICHI, JITSU	ニチ, ジツ	ka, hi	か, ひ	day, sun	5
22	GETSU, GATSU	ゲツ, ガツ	tsuki	つき	moon, month	17
23	KA	カ	hi, ho	ひ, ほ	fire, light	20
24	SUI	スイ	mizu	みず	water	21
25	MOKU, BOKU	モク, ボク	ki	き	tree, wood	22
26	KIN, KON	キン, コン	kane, kana	かね, かな	money, gold	23
27	TO, DO	ト, ド	tsuchi	つち	ground, earth, soil	24
28	HON	ホン	moto	もと	book	25
29	KYUU	キュウ	yasu(mu)	やす(む)	rest, vacation	60
30	GO	ゴ	kata(ru), kata(rau)	かた(る), かた(らう)	word, language, tell	67
31	NEN	ネン	toshi	とし	year	45
32	GO	ゴ	uma	うま	noon	49
33	ZEN	ゼン	mae	まえ	before, in front of, previous	47
34	GO, KOU	ゴ, コウ	ato, nochi, ushi(ro), oku(reru)	あと, のち, うし(ろ), おく(れる)	after, behind	48
35	JI	ジ	toki	とき	time, hour	42
36	KAN, KEN	カン, ケン	aida, ma	あいだ, ま	interval, between	43
37	MAI, BAI	マイ, バイ	goto(ni)	ごと(に)	each, every	116
38	SEN	セン	saki	さき	previous, ahead	50
39	KON, KIN	コン, キン	ima	いま	this, now, the present	51
40	KA	カ	nani, nan	なに, なん	what	390
41	JOU, SHOU	ジョウ, ショウ	kami, ue, a(geru), a(garu), no(boru)	かみ, うえ, あ(げる), あ(がる), の(ぼる)	up, above, top, on	32
42	KA, GE	カ, ゲ	shita, shimo, moto	した, しも, もと	bottom, down, under, lower	31
43	SA	サ	hidari	ひだり	left	75
44	U, YUU	ウ, ユウ	migi	みぎ	right	76
45	TOU	トウ	higashi	ひがし	east	71
46	SAI, SEI	サイ, セイ	nishi	にし	west	72
47	NAN	ナン	minami	みなみ	south	74
48	HOKU	ホク	kita	きた	north	73
49	GAI, GE	ガイ, ゲ	soto, hoka	そと, ほか	outside, foreign	83
50	MEI, MYOU	メイ, ミョウ	na	な	name, fame, famous	82
51	KOU	コウ	taka(i)	たか(い)	tall, high, costly, expensive	190
52	SHOU	ショウ	chii(sai), ko, o	ちい(さい), こ, お	small	27
53	CHUU	チュウ	naka	なか	middle, center, within, inside, in	28
54	DAI, TAI	ダイ, タイ	oo(kii)	おお(きい)	big	26
55	CHOU	チョウ	naga(i)	なが(い)	chief, long	95
56	HAN	ハン	naka(ba)	なか(ば)	half	88
57	BU, FUN, BUN	ブ, フン, ブン	wa(karu), wa(keru), wa(kareru)	わ(かる), わ(ける), わ(かれる)	divide, minute, part, understand	38
58	GAKU	ガク	mana(bu)	まな(ぶ)	learn	109
59	KOU	コウ			school	115
60	SEI, SHOU	セイ, ショウ	i(kiru), u(mareru), nama	い(きる), う(まれる), なま	life, live, birth	44
61	SAN	サン	yama	やま	mountain	34
62	SEN	セン	kawa	かわ	river	33
63	HAKU, BYAKU	ハク, ビャク	shiro(i)	しろ(い)	white	205
64	TEN	テン	ama, ame	あま, あめ	heaven, sky	141
65	U	ウ	ame, ama	あめ, あま	rain	30
66	DEN	デン			electricity	108
67	KI, KE	キ, ケ			spirit, mind, energy, power	134
68	SHA	シャ	kuruma	くるま	car, vehicle	133
69	KOKU	コク	kuni	くに	country	40
70	EN	エン	maru(i)	まる(い)	round, yen	13
71	WA	ワ	hana(shi), hana(su)	はな(し), はな(す)	talk, topic, story	238
72	BUN, MON	ブン, モン	ki(ku), ki(koeru)	き(く), き(こえる)	hear, listen, ask	64
73	SHOKU, JIKI	ショク, ジキ	ta(beru), ku(u), ku(rau)	た(べる), く(う), く(らう)	eat, food	322
74	TOKU, DOKU	トク, ドク	yo(mu)	よ(む)	read	244
75	RAI	ライ	ku(ru), kita(ru), kita(su)	く(る), きた(る), きた(す)	come	69
76	SHO	ショ	ka(ku)	か(く)	write, book	131
77	KEN	ケン	mi(ru), mi(eru), mi(seru)	み(る), み(える), み(せる)	see, show	63
78	KOU, GYOU	コウ, ギョウ	i(ku), yu(ku)	い(く), ゆ(く)	go	68
79	SHUTSU, SUI	シュツ, スイ	da(su), de(ru)	だ(す), で(る)	leave, put out	53
80	NYUU	ニュウ	i(ru), i(reru), hai(ru)	い(る), い(れる), はい(る)	enter, put in	52
81	KAI, E	カイ, エ	a(u)	あ(う)	meet	158
82	SEI, SHOU	セイ, ショウ	ao(i)	あお(い)	blue	208
83	SEKI	セキ	aka(i)	あか(い)	red	207
84	MEI, MYOU	メイ, ミョウ	aka(rui), a(keru)	あか(るい), あ(ける)	light, bright, clear	18
85	SHUU	シュウ	aki	あき	autumn, fall	462
86	KUU	クウ	sora, kara, a(ku), a(keru)	そら, から, あ(く), あ(ける)	sky, air, empty	140
87	KAI	カイ	a(ku), a(keru), hira(ku)	あ(く), あ(ける), ひら(く)	open	396
88	AKU	アク	waru(i)	わる(い)	bad, evil	304
89	CHOU	チョウ	asa	あさ	morning	469
90	JI	ジ	aza	あざ	letter, character, mark	110
91	SOKU	ソク	ashi	あし	foot, leg, suffice	58
92	MI	ミ	aji(wau)	あじ(わう)	taste	307
93	SHIN	シン	ara(ta), atara(shii), ni(i)	あら(た), あたら(しい), に(い)	new, fresh	174
94	SHUU	シュウ	atsu(maru), atsu(meru)	あつ(まる), あつ(める)	collect, gather	436
95	KEI, KYOU	ケイ, キョウ	ani	あに	older brother	406
